id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
12392592,0,67005410,Feliciano,,Centrum-West,,4.89926,Private room,104,2,107,2020-01-12,1.9,16,364,Centrum-West,67005410,Feliciano,,,4.89926,Private room,103,1,133,2020-09-06,2.82,16,365
45836338,0,178187873,Marcel And Pauline,,Centrum-Oost,52.36497,4.88061,Entire home/apt,56,2,6,2020-11-17,3.21,25,0,Centrum-Oost,178187873,Marcel And Pauline,,52.36497,4.88061,Entire home/apt,56,2,3,2020-11-04,1.8,25,0
41910011,0,316681026,Hotel Estheréa,,Centrum-West,52.37054,4.88865,Private room,111,1,1,2020-09-28,0.39,5,365,Centrum-West,316681026,Hotel Estheréa,,52.37054,4.88865,Private room,171,1,0,,,5,365
13897477,1,22715299,Sjoerd,,De Baarsjes - Oud-West,52.36245,4.86268,Private room,80,1,0,,,1,0,De Baarsjes - Oud-West,56754302,Shanna,,52.37282,4.86449,Entire home/apt,91,2,3,2016-08-15,0.06,1,0
39573172,0,29679961,Rob,,Oud-Oost,52.36187,4.92917,Entire home/apt,160,2,0,,,1,0,Watergraafsmeer,18831237,Lode,,52.35505,4.92917,Entire home/apt,180,2,6,2019-08-14,0.21,1,0
6893255,1,4223835,Tosca,,De Baarsjes - Oud-West,52.36705,4.85508,Entire home/apt,100,3,18,2019-12-30,0.27,1,0,Bos en Lommer,8561676,Vera,,52.37938,4.84802,Entire home/apt,125,7,2,2015-09-21,0.03,1,0
22383593,1,163687650,Sasa,,Oud-Noord,52.39301,4.94565,Private room,150,3,56,2020-03-07,1.56,1,365,Geuzenveld - Slotermeer,1612630,Thomas,,52.37349,4.82222,Entire home/apt,79,1,29,2019-03-09,1.05,1,0
38459144,0,77272371,Khalil,,De Pijp - Rivierenbuurt,52.35452,4.88852,Private room,28,1,2,2019-10-21,0.14,1,0,De Pijp - Rivierenbuurt,75200558,Scipio,,52.35664,4.88852,Entire home/apt,85,1,10,2016-09-25,0.18,1,0
8037965,1,17097221,Mario,,Bos en Lommer,52.37697,4.84849,Private room,68,1,2,2015-09-07,0.03,1,0,De Baarsjes - Oud-West,22715299,Sjoerd,,52.36245,4.86268,Private room,80,1,0,,,1,0
18414048,1,7858255,Dick,,Noord-Oost,52.38682,4.9592,Entire home/apt,130,3,10,2019-08-07,0.23,1,0,Oud-Oost,205725069,Floor,,52.35769,4.91017,Entire home/apt,150,2,10,2020-02-16,0.38,1,70
41912003,0,316681026,Hotel Estheréa,,Centrum-West,52.37054,4.88865,Private room,171,1,0,,,5,365,Centrum-West,316681026,Hotel Estheréa,,52.37054,4.88865,Private room,186,1,0,,,5,365
21089325,1,127500048,Alexander,,Buitenveldert - Zuidas,52.33599,4.8707,Entire home/apt,120,1,3,2017-10-22,0.08,1,0,De Pijp - Rivierenbuurt,174165948,Pg,,52.34769,4.90896,Private room,70,1,1,2019-03-04,0.05,1,177
