id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
28800381,0,217210393,Paola,Eixample,l'Antiga Esquerra de l'Eixample,,2.15713,Entire home/apt,43,32,0,,,7,76,l'Antiga Esquerra de l'Eixample,217210393,Paola,Eixample,,2.15713,Entire home/apt,44,32,0,,,7,77
21390932,1,139063900,Deco Apartments Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.39191,2.15172,Entire home/apt,104,1,71,2020-10-12,2.02,35,26,l'Antiga Esquerra de l'Eixample,139063900,Deco Apartments Barcelona,Eixample,41.3926,2.15234,Entire home/apt,119,1,64,2020-11-13,1.88,35,157
3536663,1,2009899,Goldy,Sant Martí,el Camp de l'Arpa del Clot,41.41047,2.18199,Entire home/apt,91,3,125,2020-01-04,1.62,1,329,la Sagrada Família,44384,Daniela,Eixample,41.41124,2.17508,Entire home/apt,99,30,74,2020-10-05,1.11,1,284
28104236,0,7104112,Tinika Sports Services Sl,Eixample,l'Antiga Esquerra de l'Eixample,41.39014,2.15892,Hotel room,999,1,9,2020-02-27,0.37,11,0,l'Antiga Esquerra de l'Eixample,7104112,Tinika Sports Services Sl,Eixample,,2.15892,Hotel room,999,1,0,,,11,0
46635028,0,250042982,Arnau,Ciutat Vella,el Raval,41.38053,2.17229,Entire home/apt,48,1,0,,,18,363,el Raval,250042982,Arnau,Ciutat Vella,41.38053,2.17229,Entire home/apt,45,1,0,,,18,363
29842122,0,23968212,The Hipstel Paseo De Gracia,Eixample,la Dreta de l'Eixample,,2.16309,Hotel room,90,1,0,,,10,364,la Dreta de l'Eixample,23968212,The Hipstel Paseo De Gracia,Eixample,,2.16309,Hotel room,13,1,38,2020-02-21,1.52,10,364
112538,0,567180,Sandra,Eixample,la Sagrada Família,,2.1746,Entire home/apt,98,4,80,2020-07-15,0.69,19,145,la Sagrada Família,567180,Sandra,Eixample,,2.1746,Entire home/apt,97,2,15,2017-02-19,0.13,19,113
13807195,0,43565515,Homes In Blue,Eixample,la Dreta de l'Eixample,,2.1602,Entire home/apt,94,2,6,2020-03-02,0.25,28,353,la Dreta de l'Eixample,43565515,Homes In Blue,Eixample,,2.1602,Entire home/apt,109,2,3,2019-08-23,0.1,28,357
23067908,0,54820821,Albert,Eixample,la Sagrada Família,,2.17132,Entire home/apt,166,1,58,2020-03-20,1.67,20,177,la Sagrada Família,174751009,Albert,Eixample,,2.17132,Entire home/apt,61,1,47,2020-03-14,1.55,18,359
19817403,0,140007238,Oscar,Eixample,la Dreta de l'Eixample,,2.17233,Entire home/apt,150,2,53,2020-09-03,1.28,5,0,la Dreta de l'Eixample,140007238,Oscar,Eixample,,2.17233,Entire home/apt,43,2,78,2020-03-01,1.9,5,6
