id,label,left_name,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_name,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
23644901,0,"Modern, lux BDR breakfast airport pickup included!",51088192,Sama,Brooklyn,Bedford-Stuyvesant,40.69028,-73.94163,Private room,100,3,0,,,1,364,Fantastic loft space in Greenpoint,Greenpoint,42905152,Charlotte,Brooklyn,40.72268,-73.94163,Entire home/apt,160,10,0,,,1,42
19603624,0,Beautiful Greenwich Village Home in NYC,71811779,Rebecca,Manhattan,West Village,40.73129,-74.00298,Entire home/apt,250,1,0,,,1,0,2 Floor Minimalist Loft located in Lower Chelsea!,Chelsea,4374467,Rudy,Manhattan,40.74505,-74.00298,Entire home/apt,225,2,0,,,1,9
15884886,0,Brooklyn Stay,58368740,Bianca,Brooklyn,Bedford-Stuyvesant,40.68537,-73.95043,Private room,70,1,1,2017-01-02,0.03,1,0,Calming room in a thrilling city,Crown Heights,43011952,Jennifer,Brooklyn,40.6736,-73.95043,Private room,75,1,0,,,1,0
30933535,0,Chic 2 bedroom just a train ride away from NYC,230517521,Vincent,Queens,Ridgewood,40.69913,-73.90831,Entire home/apt,200,2,1,2019-06-30,1.0,1,0,Spacious Private Room in Brooklyn,Bushwick,2238052,Chris,Brooklyn,40.69288,-73.90831,Private room,69,2,54,2019-06-09,1.26,1,0
8839938,0,Beautiful 1BR in Chelsea,46293809,Courtney,Manhattan,Chelsea,40.74336,-73.99706,Entire home/apt,250,1,0,,,1,0,Cute Room Perfect Downtown Location,Little Italy,29040298,Paulien,Manhattan,40.72043,-73.99706,Private room,64,3,0,,,1,0
15545469,0,Modern Bedroom with Best View in Brooklyn,14482375,Lara & David,Brooklyn,Greenpoint,40.72214,-73.94345,Private room,199,3,20,2019-06-27,0.66,3,0,Great Room in NY close Upper East Side,East Harlem,33411808,Maxime,Manhattan,40.78559,-73.94345,Private room,40,3,0,,,1,0
35461013,1,Artsy Private BR in Fort Greene Cumberland,230192510,Zach,Brooklyn,Fort Greene,40.69747,-73.97506,Private room,48,30,0,,,25,310,Artsy Private BR in Fort Greene Cumberland,Fort Greene,230192510,Zach,Brooklyn,40.69634,-73.97393,Private room,48,30,0,,,25,342
10086029,0,West Village Duplex with Backyard!,2072706,Umang,Manhattan,West Village,40.73191,-74.00493,Entire home/apt,800,3,0,,,1,0,Chelsea Apt w/ Private Rooftop Deck,Chelsea,24625891,T,Manhattan,40.74815,-74.00493,Entire home/apt,125,3,0,,,1,0
9822983,0,31 Dec - 1 Jan lovely Prospect room,4119786,Shimrit,Brooklyn,Prospect Heights,40.6733,-73.9647,Private room,40,1,1,2015-12-23,0.02,2,0,Prime Williamsburg 2 Balcony & Roof,Williamsburg,740029,Emily,Brooklyn,40.70997,-73.9647,Entire home/apt,100,1,1,2016-03-13,0.02,1,0
9430502,0,Stay in the coolest neighborhood,3100823,Kyle,Brooklyn,Bushwick,40.70383,-73.92853,Private room,40,1,0,,,1,0,Enjoy privacy & comfort in Washington Heights 1BR,Washington Heights,17174170,Angela,Manhattan,40.85197,-73.92853,Entire home/apt,74,1,4,2019-03-24,0.95,1,0
