id,label,left_id,left_name,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_id,right_name,right_host_id,right_host_name,right_neighbourhood_group,right_neighbourhood,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
695,1,45854789,The Weber Collection - Luxurieus Design Studio - 8,178187873,Marcel And Pauline,,Centrum-Oost,52.36497,4.88061,Entire home/apt,56,2,8,2020-11-16,4.53,25,0,45168887,The Weber Collection - Luxurieus Design Studio - 3,178187873,Marcel And Pauline,,Centrum-Oost,52.36497,4.88061,Entire home/apt,99,2,5,2020-11-01,1.61,25,0
175,0,345397,SPACIOUS historical Amsterdam apartment 120m2,1751751,Nyika,,De Pijp - Rivierenbuurt,52.35711,4.90391,Entire home/apt,169,2,43,2020-03-08,0.41,1,0,10701389,charming houseboat in citycentrum,55288823,Thomas,,Centrum-Oost,52.364020000000004,4.90391,Entire home/apt,217,2,44,2020-08-30,0.77,1,0
329,1,12908561,"Hotel in the heart of Amsterdam, Single room",67005410,Feliciano,,Centrum-West,52.37426,4.89926,Private room,73,1,187,2020-02-12,3.36,16,365,12582071,Hotel in the heart of Amsterdam 3p,67005410,Feliciano,,Centrum-West,52.37426,4.89926,Private room,153,1,143,2020-08-07,2.59,16,360
10207,0,13983271,Cozy Rooms in Amsterdam Centre,79386151,Chance,,Centrum-Oost,52.36772,4.90246,Private room,135,2,3,2018-10-15,0.11,2,0,36220749,Lovely family home / eco-villa in vibrant Noord,18104290,Nathalie,,Oud-Noord,52.40095,4.90246,Entire home/apt,115,2,3,2019-08-15,0.18,1,0
481,1,23899829,PH93 Amsterdam - Room P,8321212,Henry,,Centrum-West,52.3766,4.90207,Private room,112,1,138,2020-09-14,4.16,2,294,24402987,PH93 Amsterdam - Room H,8321212,Henry,,Centrum-West,52.3766,4.90207,Private room,136,1,37,2020-07-19,1.22,2,289
12575,0,24458995,Saskia’s House,57234499,Saskia,,Buitenveldert - Zuidas,52.323570000000004,4.85657,Entire home/apt,150,2,10,2018-10-28,0.35,2,0,32232068,Bright & Spacious APT for 2P close to Vondelpark,1464510,Wendy And Bram,,De Baarsjes - Oud-West,52.36115,4.85657,Entire home/apt,112,2,1,2019-06-15,0.05,84,0
2873,0,14070038,Sunlit apartment in the bustling Jordaan,84499435,Sabien,,Centrum-West,52.37141,4.88141,Entire home/apt,160,3,21,2019-06-02,0.4,1,0,6907368,On the corner of Prinsengracht,20419809,Caroline,,Centrum-West,52.373909999999995,4.88141,Entire home/apt,130,3,13,2019-12-28,0.22,1,0
1704,0,2423338,"Great apartment, view over Amstel!",7358637,Marie,,Oud-Oost,52.35252,4.91098,Entire home/apt,139,3,0,,,1,0,15106989,"Big house, perfect location, great for families",4109856,Willemijn,,Oud-Oost,52.356590000000004,4.91098,Entire home/apt,90,3,10,2019-06-11,0.2,1,0
5151,0,7345506,Sunny apartment next to Vondelpark,12859025,Doro,,Zuid,52.35309,4.8536,Entire home/apt,155,2,25,2018-12-17,0.39,1,0,21390881,Waterfront apartmnt w roof terrace near Vondelpark,154951660,Marjolein,,Zuid,52.35085,4.8536,Entire home/apt,145,2,1,2018-06-25,0.03,1,0
14250,0,31007423,Fancy Apartment in East Amsterdam,231399603,Max,,Oud-Oost,52.354929999999996,4.92518,Entire home/apt,129,3,0,,,1,0,30178747,pleasant room in comfy apt,6419800,Marko,,Oud-Oost,52.36268,4.92518,Private room,100,2,0,,,1,0
