label,id_left,name_left,host_id_left,host_name_left,neighbourhood_group_left,neighbourhood_left,latitude_left,longitude_left,room_type_left,price_left,minimum_nights_left,number_of_reviews_left,last_review_left,reviews_per_month_left,calculated_host_listings_count_left,availability_365_left,id_right,name_right,host_id_right,host_name_right,neighbourhood_group_right,neighbourhood_right,latitude_right,longitude_right,room_type_right,price_right,minimum_nights_right,number_of_reviews_right,last_review_right,reviews_per_month_right,calculated_host_listings_count_right,availability_365_right
1,20534,Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,45,2019-09-11,0.36,5,365,20587,Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,150,3,58,2020-03-07,0.46,5,332
1,20534,Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,45,2019-09-11,0.36,5,365,22930,Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,64,2020-02-18,0.5,5,321
1,20587,Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,150,3,58,2020-03-07,0.46,5,332,20534,Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,45,2019-09-11,0.36,5,365
1,20587,Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,150,3,58,2020-03-07,0.46,5,332,22930,Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,64,2020-02-18,0.5,5,321
1,22930,Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,64,2020-02-18,0.5,5,321,20534,Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,45,2019-09-11,0.36,5,365
1,22930,Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,96,3,64,2020-02-18,0.5,5,321,20587,Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.889920000000004,12.46823,Entire home/apt,150,3,58,2020-03-07,0.46,5,332
1,20606,"Your own home in St. Peter, Rome",77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,102,3,70,2020-10-21,0.56,3,358,25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,645,4,34,2019-01-02,0.27,3,17
1,25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,645,4,34,2019-01-02,0.27,3,17,20606,"Your own home in St. Peter, Rome",77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,102,3,70,2020-10-21,0.56,3,358
1,63229,A cozy room with private bathroom,258506,Emanuela,,XII Monte Verde,41.873490000000004,12.45792,Private room,22,1,120,2020-01-07,1.07,5,365,239343,Room with bathroom and balcony,258506,Emanuela,,XII Monte Verde,41.873490000000004,12.45792,Private room,38,1,6,2015-07-15,0.06,5,364
1,239343,Room with bathroom and balcony,258506,Emanuela,,XII Monte Verde,41.873490000000004,12.45792,Private room,38,1,6,2015-07-15,0.06,5,364,63229,A cozy room with private bathroom,258506,Emanuela,,XII Monte Verde,41.873490000000004,12.45792,Private room,22,1,120,2020-01-07,1.07,5,365
1,78314,DIAMOND Apartment,382155,Michele,,VII San Giovanni/Cinecittà,41.87516,12.513589999999999,Entire home/apt,133,3,17,2020-02-10,0.17,12,176,4243044,DIAMOND Apartment,382155,Michele,,VII San Giovanni/Cinecittà,41.87516,12.513589999999999,Entire home/apt,86,3,149,2020-08-24,2.3,12,197
1,4243044,DIAMOND Apartment,382155,Michele,,VII San Giovanni/Cinecittà,41.87516,12.513589999999999,Entire home/apt,86,3,149,2020-08-24,2.3,12,197,78314,DIAMOND Apartment,382155,Michele,,VII San Giovanni/Cinecittà,41.87516,12.513589999999999,Entire home/apt,133,3,17,2020-02-10,0.17,12,176
1,110515,Big Apartment in the heart of Rome,464660,Barbara,,II Parioli/Nomentano,41.89666,12.512789999999999,Entire home/apt,125,3,142,2020-02-21,1.32,6,357,117532,Spaciouse Apartment in the heart of Rome,464660,Barbara,,II Parioli/Nomentano,41.89666,12.512789999999999,Entire home/apt,139,1,39,2020-08-20,0.37,6,362
1,117532,Spaciouse Apartment in the heart of Rome,464660,Barbara,,II Parioli/Nomentano,41.89666,12.512789999999999,Entire home/apt,139,1,39,2020-08-20,0.37,6,362,110515,Big Apartment in the heart of Rome,464660,Barbara,,II Parioli/Nomentano,41.89666,12.512789999999999,Entire home/apt,125,3,142,2020-02-21,1.32,6,357
1,155179,Renovated 1BR NAVONA-VATICAN,746256,Olivia,,I Centro Storico,41.89875,12.46946,Entire home/apt,67,3,135,2020-11-20,1.22,4,359,156445,Charming Studio Navona / S.Peter,746256,Olivia,,I Centro Storico,41.89875,12.46946,Entire home/apt,60,3,60,2020-10-18,1.08,4,0
1,156445,Charming Studio Navona / S.Peter,746256,Olivia,,I Centro Storico,41.89875,12.46946,Entire home/apt,60,3,60,2020-10-18,1.08,4,0,155179,Renovated 1BR NAVONA-VATICAN,746256,Olivia,,I Centro Storico,41.89875,12.46946,Entire home/apt,67,3,135,2020-11-20,1.22,4,359
1,161978,Room near Termini Station 30 minutes to Center,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,28,2,199,2020-03-08,3.02,5,180,7469261,Nice room near Center and Termini,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,28,2,186,2020-08-03,2.83,5,180
1,161978,Room near Termini Station 30 minutes to Center,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,28,2,199,2020-03-08,3.02,5,180,7592021,Bright room near the Center and Termini,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,29,2,179,2020-03-02,2.79,5,180
1,7469261,Nice room near Center and Termini,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,28,2,186,2020-08-03,2.83,5,180,161978,Room near Termini Station 30 minutes to Center,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,28,2,199,2020-03-08,3.02,5,180
1,7469261,Nice room near Center and Termini,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,28,2,186,2020-08-03,2.83,5,180,7592021,Bright room near the Center and Termini,773808,Rosanna,,II Parioli/Nomentano,41.897859999999994,12.5146,Private room,29,2,179,2020-03-02,2.79,5,180
1,275882,Trastevere-vaticano colosseo panthe,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,252,1,32,2016-09-28,0.3,8,0,333368,Apart Trastevere-Campo de' Fiori,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,210,1,45,2017-04-11,0.44,8,320
1,275882,Trastevere-vaticano colosseo panthe,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,252,1,32,2016-09-28,0.3,8,0,333369,Magnificent apartment TRASTEVERE,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,213,1,7,2015-06-23,0.08,8,0
1,333368,Apart Trastevere-Campo de' Fiori,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,210,1,45,2017-04-11,0.44,8,320,275882,Trastevere-vaticano colosseo panthe,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,252,1,32,2016-09-28,0.3,8,0
1,333368,Apart Trastevere-Campo de' Fiori,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,210,1,45,2017-04-11,0.44,8,320,333369,Magnificent apartment TRASTEVERE,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,213,1,7,2015-06-23,0.08,8,0
1,333369,Magnificent apartment TRASTEVERE,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,213,1,7,2015-06-23,0.08,8,0,275882,Trastevere-vaticano colosseo panthe,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,252,1,32,2016-09-28,0.3,8,0
1,333369,Magnificent apartment TRASTEVERE,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,213,1,7,2015-06-23,0.08,8,0,333368,Apart Trastevere-Campo de' Fiori,1374312,Giulio,,I Centro Storico,41.891890000000004,12.469439999999999,Entire home/apt,210,1,45,2017-04-11,0.44,8,320
1,277084,Lovely B&B in lively Trastevere,1013976,Lucia,,I Centro Storico,41.89134,12.46861,Hotel room,41,1,14,2020-02-27,0.13,4,338,370630,Lovely and cheap  B&B in Trastevere,1013976,Lucia,,I Centro Storico,41.89134,12.46861,Hotel room,51,1,4,2020-08-04,0.24,4,352
1,370630,Lovely and cheap  B&B in Trastevere,1013976,Lucia,,I Centro Storico,41.89134,12.46861,Hotel room,51,1,4,2020-08-04,0.24,4,352,277084,Lovely B&B in lively Trastevere,1013976,Lucia,,I Centro Storico,41.89134,12.46861,Hotel room,41,1,14,2020-02-27,0.13,4,338
1,320025,Luxury & Historic Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,54,1,6,2020-10-09,0.07,5,357,341703,Luxury 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,64,1,8,2020-09-23,0.07,5,344
1,320025,Luxury & Historic Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,54,1,6,2020-10-09,0.07,5,357,366441,Charming 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,42,1,22,2020-12-11,0.21,5,327
1,341703,Luxury 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,64,1,8,2020-09-23,0.07,5,344,320025,Luxury & Historic Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,54,1,6,2020-10-09,0.07,5,357
1,341703,Luxury 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,64,1,8,2020-09-23,0.07,5,344,366441,Charming 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,42,1,22,2020-12-11,0.21,5,327
1,366441,Charming 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,42,1,22,2020-12-11,0.21,5,327,320025,Luxury & Historic Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,54,1,6,2020-10-09,0.07,5,357
1,366441,Charming 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,42,1,22,2020-12-11,0.21,5,327,341703,Luxury 1923 Building City Center Sea View,1640851,Perla,,X Ostia/Acilia,41.73044,12.277280000000001,Private room,64,1,8,2020-09-23,0.07,5,344
1,326623,Fori Romani,1670144,Luca,,I Centro Storico,41.89099,12.48466,Entire home/apt,29,2,421,2020-08-15,4.02,6,210,335162,Fori Romani 2,1670144,Luca,,I Centro Storico,41.89099,12.48466,Entire home/apt,28,2,397,2020-10-31,4.66,6,215
1,335162,Fori Romani 2,1670144,Luca,,I Centro Storico,41.89099,12.48466,Entire home/apt,28,2,397,2020-10-31,4.66,6,215,326623,Fori Romani,1670144,Luca,,I Centro Storico,41.89099,12.48466,Entire home/apt,29,2,421,2020-08-15,4.02,6,210
1,340097,Via Giulia wonderful apartment,1107433,Emiliano & Maria,,I Centro Storico,41.89895,12.46574,Entire home/apt,159,7,8,2017-12-15,0.09,70,197,15350335,Via Giulia Enchanting 2 Bedrooms Apartment,1107433,Emiliano & Maria,,I Centro Storico,41.89895,12.46574,Entire home/apt,113,1,51,2020-11-12,1.0,70,94
1,15350335,Via Giulia Enchanting 2 Bedrooms Apartment,1107433,Emiliano & Maria,,I Centro Storico,41.89895,12.46574,Entire home/apt,113,1,51,2020-11-12,1.0,70,94,340097,Via Giulia wonderful apartment,1107433,Emiliano & Maria,,I Centro Storico,41.89895,12.46574,Entire home/apt,159,7,8,2017-12-15,0.09,70,197
1,357001,Enjoy Your Stay-Saint Peter apt,1806875,Cecilia,,I Centro Storico,41.908359999999995,12.46612,Entire home/apt,81,2,76,2020-03-07,0.76,5,355,412553,Enjoy Your Stay-Vatican apt,1806875,Cecilia,,I Centro Storico,41.908359999999995,12.46612,Entire home/apt,96,2,35,2019-12-30,0.36,5,325
1,357001,Enjoy Your Stay-Saint Peter apt,1806875,Cecilia,,I Centro Storico,41.908359999999995,12.46612,Entire home/apt,81,2,76,2020-03-07,0.76,5,355,12937762,Enjoy Your Stay-Sant'Angelo apt,1806875,Cecilia,,I Centro Storico,41.908359999999995,12.46612,Entire home/apt,140,2,32,2020-02-08,0.58,5,350
1,412553,Enjoy Your Stay-Vatican apt,1806875,Cecilia,,I Centro Storico,41.908359999999995,12.46612,Entire home/apt,96,2,35,2019-12-30,0.36,5,325,357001,Enjoy Your Stay-Saint Peter apt,1806875,Cecilia,,I Centro Storico,41.908359999999995,12.46612,Entire home/apt,81,2,76,2020-03-07,0.76,5,355
