id,label,left_id,left_name,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_id,right_name,right_host_id,right_host_name,right_neighbourhood_group,right_neighbourhood,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
5116,0,5366596,ROMA CAPUT MUNDI DOUBLE ROOM by NORI GUEST HOUSE,27820804,Anna,,I Centro Storico,41.89141,12.50038,Hotel room,30,1,437,2020-11-01,6.24,11,0,14437052,New Inn,88872950,Germano,,I Centro Storico,41.898999999999994,12.50038,Hotel room,35,1,40,2020-10-04,0.79,9,0
612,1,6408556,Brand new studio Trastevere 79899,5056483,Halldis Apartments & Villas,,I Centro Storico,41.89083,12.46938,Entire home/apt,215,2,3,2017-04-29,0.04,121,81,6409315,Bright 100sqm in Trastevere 79907,5056483,Halldis Apartments & Villas,,I Centro Storico,41.89083,12.46938,Entire home/apt,224,2,7,2019-10-26,0.13,121,155
4912,0,29559320,Casa dei ospite,222544960,Marianna,,I Centro Storico,41.90129,12.47669,Shared room,330,3,0,,,1,1,5776808,Allegria in Testaccio appartment,29972641,Marco,,I Centro Storico,41.87968,12.47669,Entire home/apt,136,2,0,,,1,1
770,1,9671076,Mirò Romantic Central Loft,46049183,Alessandro,,I Centro Storico,41.89909,12.46562,Entire home/apt,44,4,49,2020-09-20,0.9,7,87,9671620,Renoir loft romantico e luminoso,46049183,Alessandro,,I Centro Storico,41.89909,12.46562,Entire home/apt,39,4,40,2020-09-19,0.66,7,69
3791,1,37177985,Private King Size Suite - Montecitorio,274014417,Simone,,I Centro Storico,41.90113,12.47746,Private room,130,1,3,2019-10-07,0.19,4,351,37177429,Private Double Room - Montecitorio,274014417,Simone,,I Centro Storico,41.90113,12.47746,Private room,120,1,1,2019-09-14,0.06,4,345
1664,1,18310287,Bambin Gesù stay - Vatican & Trastevere n.4,6146778,Paolo & Friends,,I Centro Storico,41.8996,12.46203,Private room,87,1,88,2020-09-12,1.98,18,0,20866512,Holy See stay - Bambin Gesù / also ★LONG TERM★,6146778,Paolo & Friends,,I Centro Storico,41.8996,12.46203,Private room,559,1,59,2020-08-18,1.48,18,0
2033,1,21747772,Double Room | R(H)OME Guesthouse,22365511,Francesco,,I Centro Storico,41.90808,12.45139,Private room,66,1,0,,,4,327,21747978,Single Room | R(H)OME Guesthouse,22365511,Francesco,,I Centro Storico,41.90808,12.45139,Private room,59,1,0,,,4,327
4334,1,45823079,La suite Tailor's nel cuore di Roma,370873472,Federico,,I Centro Storico,41.90408,12.48054,Private room,210,1,0,,,4,215,45748685,La gest house nel cuore di Roma.,370873472,Federico,,I Centro Storico,41.90408,12.48054,Private room,503,1,0,,,4,202
2342,0,21496610,Bellissimo Apt in Monteverde,33153039,Domenico,,XII Monte Verde,41.86692,12.44179,Entire home/apt,135,2,0,,,1,0,2277421,STONE-ROOM SAN PIETRO AREA,11629005,Fulvio,,XIII Aurelia,41.89274,12.44179,Private room,40,2,0,,,1,321
587,1,6252526,Luxury Penthouse the Rome's Heart 1,32477070,Oriana,,I Centro Storico,41.90199000000001,12.48052,Entire home/apt,195,1,150,2020-08-16,2.22,5,358,7891792,Comfort apartment in Rome's heart,32477070,Oriana,,I Centro Storico,41.90199000000001,12.48052,Entire home/apt,687,1,114,2020-08-28,1.87,5,349
106,1,1287551,Sunny Room  Loft Rome Eur  comfort e design,3675830,Lorenzo,,VIII Appia Antica,41.83788,12.48762,Private room,20,1,382,2020-02-26,4.44,2,307,742752,Tiny Room  Loft Rome Eur ☼ comfort e design,3675830,Lorenzo,,VIII Appia Antica,41.83788,12.48762,Private room,21,1,355,2020-03-05,3.82,2,304
7311,0,8484415,CasaPichini  room4art near Colosseo (metroMANZONI),44684241,Roberto,,I Centro Storico,41.88943,12.50557,Entire home/apt,148,2,181,2020-02-23,3.15,1,365,32972913,Quest House Lihong 4,246975750,Paolo,,I Centro Storico,41.89275,12.50557,Private room,85,2,0,,,5,365
9814,0,12579441,Rooma beb -  Altare della Patria,68192260,Ercole Paolo,,II Parioli/Nomentano,41.91066,12.512889999999999,Private room,95,1,0,,,5,365,12138065,Center 6,63982779,Francesca Romana,,I Centro Storico,41.89247,12.512889999999999,Hotel room,50,1,112,2020-02-23,1.98,5,365
2964,1,30205582,"Roma, a 1 passo dalla Metropolitana",226790932,Laura,,VII San Giovanni/Cinecittà,41.84024,12.58582,Private room,60,3,1,2019-01-03,0.04,2,0,30205463,"Roma, a 100 metri dalla Metropolitana.",226790932,Laura,,VII San Giovanni/Cinecittà,41.84024,12.58582,Private room,50,3,2,2020-02-16,0.08,2,83
129,0,85857,Aenea's B&B in the heart of Rome,470889,Federica,,I Centro Storico,41.89783,12.503169999999999,Hotel room,80,2,57,2019-10-08,0.5,6,365,4615164,Fitzroy Apartment in rome centre,465831,Gabriel,,II Parioli/Nomentano,41.90994,12.503169999999999,Private room,161,2,2,2018-01-01,0.03,3,365
2584,1,26002164,Modern triple room next to the central station,123884273,Emanuele,,II Parioli/Nomentano,41.89555,12.51432,Private room,77,1,2,2019-10-28,0.07,4,0,26056743,Modern apartament for 6 people next to the station,123884273,Emanuele,,II Parioli/Nomentano,41.89555,12.51432,Entire home/apt,92,1,44,2020-01-01,1.48,4,0
2457,1,25045215,Trevi Fountain Royal Gold Apartment,26993977,Carlo,,I Centro Storico,41.90507,12.48597,Entire home/apt,2000,1,198,2020-11-08,6.31,4,361,27520454,Spanish Steps Boutique Gold Apartment,26993977,Carlo,,I Centro Storico,41.90507,12.48597,Entire home/apt,50,1,118,2020-09-27,4.12,4,194
1068,0,28621452,Esedra Inn-Camera tripla in centro,215992083,Golden Gestione,,I Centro Storico,41.90193,12.49312,Hotel room,94,1,2,2019-05-12,0.1,4,365,784311,Single Room @Suburra Green and Red,5057593,Nerva Accomodation,,I Centro Storico,41.89565,12.49312,Private room,69,1,72,2019-11-29,0.79,18,365
5404,0,5711019,Central Studio with 24/7 Concierge (2 guests),29087393,Residence Prati,,I Centro Storico,41.91668,12.468010000000001,Entire home/apt,111,1,19,2019-05-27,0.27,9,365,44654888,Private room in B&B - 1 km from Vatican City,3390191,Aldo,,I Centro Storico,41.90847,12.468010000000001,Private room,57,1,0,,,4,365
15606,0,23642437,Costaguti Experience,128838714,Rubina,,I Centro Storico,41.89421,12.47662,Entire home/apt,1701,3,0,,,7,156,42548916,"Adiacente Fatebenefratelli, camera matrimoniale",98027615,Vanessa,,I Centro Storico,41.88927,12.47662,Private room,29,3,0,,,7,180
184,1,14585578,TOP CENTRAL LOCATION,6935798,Sean,,I Centro Storico,41.89544,12.47337,Private room,66,1,10,2020-07-24,0.35,10,358,14586015,TOP CENTRAL LOCATION,6935798,Sean,,I Centro Storico,41.89544,12.47337,Private room,53,1,9,2020-02-17,0.24,10,362
