label,id_left,name_left,host_id_left,host_name_left,neighbourhood_group_left,neighbourhood_left,latitude_left,longitude_left,room_type_left,price_left,minimum_nights_left,number_of_reviews_left,last_review_left,reviews_per_month_left,calculated_host_listings_count_left,availability_365_left,id_right,name_right,host_id_right,host_name_right,neighbourhood_group_right,neighbourhood_right,latitude_right,longitude_right,room_type_right,price_right,minimum_nights_right,number_of_reviews_right,last_review_right,reviews_per_month_right,calculated_host_listings_count_right,availability_365_right
1,286500,"Center,Canal View, Private Bathroom",1491565,David,,Centrum-West,52.375609999999995,4.9,Private room,70,3,280,2020-09-14,2.59,2,302,290701,"Center, Large&Sunny Room,Pvt Bathrm",1491565,David,,Centrum-West,52.375609999999995,4.9,Private room,70,3,324,2020-09-14,3.02,2,335
1,290701,"Center, Large&Sunny Room,Pvt Bathrm",1491565,David,,Centrum-West,52.375609999999995,4.9,Private room,70,3,324,2020-09-14,3.02,2,335,286500,"Center,Canal View, Private Bathroom",1491565,David,,Centrum-West,52.375609999999995,4.9,Private room,70,3,280,2020-09-14,2.59,2,302
1,613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,85,1,371,2020-09-01,3.67,10,298,3155284,Your cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,1,156,2020-09-01,2.01,10,0
1,3155284,Your cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,1,156,2020-09-01,2.01,10,0,613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,85,1,371,2020-09-01,3.67,10,298
1,744158,Kiki's Loft Apartment,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,20,2020-03-10,0.27,13,0,744386,Kiki's Garden View Apartment 01,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,22,2020-07-21,0.27,13,269
1,744158,Kiki's Loft Apartment,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,20,2020-03-10,0.27,13,0,744520,Kiki's Garden View Apartment 02,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,208,7,20,2020-07-02,0.25,13,166
1,744386,Kiki's Garden View Apartment 01,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,22,2020-07-21,0.27,13,269,744158,Kiki's Loft Apartment,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,20,2020-03-10,0.27,13,0
1,744386,Kiki's Garden View Apartment 01,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,22,2020-07-21,0.27,13,269,744520,Kiki's Garden View Apartment 02,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,208,7,20,2020-07-02,0.25,13,166
1,744520,Kiki's Garden View Apartment 02,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,208,7,20,2020-07-02,0.25,13,166,744158,Kiki's Loft Apartment,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,20,2020-03-10,0.27,13,0
1,744520,Kiki's Garden View Apartment 02,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,208,7,20,2020-07-02,0.25,13,166,744386,Kiki's Garden View Apartment 01,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,149,7,22,2020-07-21,0.27,13,269
1,954629,"Stylish, clean studio, high service",5183517,Simonehenken,,Bijlmer-Centrum,52.320190000000004,4.95501,Private room,70,2,5,2020-07-26,0.07,2,17,954633,Private studio 25m2 for two near A'dam Arena,5183517,Simonehenken,,Bijlmer-Centrum,52.320190000000004,4.95501,Private room,79,2,98,2020-08-15,1.22,2,340
