MATCH_SCORE,ID_1,NAME_1,HOSTNAME_1,NEIGHB_1,LATITUDE_1,LONGITUDE_1,ROOM_TYPE_1,ID_2,NAME_2,HOSTNAME_2,NEIGHB_2,LATITUDE_2,LONGITUDE_2,ROOM_TYPE_2
100,675675,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190909,1244512,Private room,268618,angolo romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190938,1244607,Private room
100,677599,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190905,1244511,Private room,268618,angolo romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190938,1244607,Private room
100,677815,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,419079,124444,Private room,268618,angolo romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190938,1244607,Private room
100,354949,Private room w/bathroom Rainbow b&b,Michela,I Centro Storico,4190981,1245758,Entire home/apt,316438,Private room w/bathroom Rainbow b&b,Michela,I Centro Storico,4191024,1245733,Entire home/apt
100,711057,Gelsomina room in S.Pietro Double,Mattia,I Centro Storico,419063,1245823,Private room,339909,Gelsomina room in S.Pietro double,Mattia,I Centro Storico,4190767,1245706,Private room
100,552958,Romahouse Vatican View Apartment 11,Daniela,XIII Aurelia,4189642,1244813,Entire home/apt,400179,Romahouse Vatican View Apartment 11,Daniela,XIII Aurelia,4189636,1244932,Entire home/apt
100,678572,Bright rooms in the heart of Rome,Davide,VIII Appia Antica,418536,1247476,Private room,621975,Bright room in the heart of Rome,Davide,VIII Appia Antica,4185502,1247387,Private room
100,678599,Bright rooms in the heart of Rome,Davide,VIII Appia Antica,4185421,1247472,Private room,621975,Bright room in the heart of Rome,Davide,VIII Appia Antica,4185502,1247387,Private room
100,677599,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190905,1244511,Private room,675675,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190909,1244512,Private room
100,677815,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,419079,124444,Private room,675675,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190909,1244512,Private room
100,677815,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,419079,124444,Private room,677599,Angolo Romano b&b Vaticano M.Cipro,Gianfranco,I Centro Storico,4190905,1244511,Private room
100,678599,Bright rooms in the heart of Rome,Davide,VIII Appia Antica,4185421,1247472,Private room,678572,Bright rooms in the heart of Rome,Davide,VIII Appia Antica,418536,1247476,Private room
100,1229976,Apartment in Rome on the Lake,Livia,XV Cassia/Flaminia,4211997,1232845,Entire home/apt,1034024,Apartment in Rome on the Lake,Livia,XV Cassia/Flaminia,4212059,123243,Entire home/apt
100,1230046,Apartment in Rome on the Lake,Livia,XV Cassia/Flaminia,4211906,1232344,Entire home/apt,1034024,Apartment in Rome on the Lake,Livia,XV Cassia/Flaminia,4212059,123243,Entire home/apt
100,1054438,B&B - Center of Rome - Termini,Francesca,I Centro Storico,4190756,1249816,Private room,1002079,B&B - Center of Rome - Termini,Francesca,I Centro Storico,4190801,1249627,Private room
100,1054445,B&B - Center of Rome - Termini,Francesca,I Centro Storico,4190788,12497,Private room,1002079,B&B - Center of Rome - Termini,Francesca,I Centro Storico,4190801,1249627,Private room
100,1054445,B&B - Center of Rome - Termini,Francesca,I Centro Storico,4190788,12497,Private room,1054438,B&B - Center of Rome - Termini,Francesca,I Centro Storico,4190756,1249816,Private room
100,1286823,Dormitory mixed  (M and F),Romangelo,I Centro Storico,4190017,125022,Shared room,1218665,Dormitory mixed  (M and F),Romangelo,I Centro Storico,4189945,1250229,Shared room
100,1230046,Apartment in Rome on the Lake,Livia,XV Cassia/Flaminia,4211906,1232344,Entire home/apt,1229976,Apartment in Rome on the Lake,Livia,XV Cassia/Flaminia,4211997,1232845,Entire home/apt
100,1200376,B&B Le Baruffe,B&B Le Baruffe Paola & Matteo,IX Eur,4175743,124979,Private room,1196630,B&B Le Baruffe,B&B Le Baruffe Paola & Matteo,IX Eur,4175756,1249745,Private room
100,820984,St Peter-Big apart in front of Dome,Nicola,I Centro Storico,4190571,1245951,Entire home/apt,1325688,St Peter-Big apart in front of Dome,Nicola,I Centro Storico,4190703,1245759,Entire home/apt
100,1272534,"Central Rome, room with private bathroom",Sabrina  & Roberto,XII Monte Verde,4187384,1246161,Private room,1325870,"Central Rome, room with private bathroom",Sabrina  & Roberto,XII Monte Verde,4187562,1246143,Private room
100,995864,B&B A Casa di Lia Home in Rome,Lia,II Parioli/Nomentano,4192374,124669,Private room,1480512,B&B A Casa di Lia Home in Rome,Lia,II Parioli/Nomentano,4192495,1246565,Private room
100,1272534,"Central Rome, room with private bathroom",Sabrina  & Roberto,XII Monte Verde,4187384,1246161,Private room,1719412,"Central Rome, room with private bathroom",Sabrina  & Roberto,XII Monte Verde,4187604,1246185,Private room
100,1295484,"Central Rome, room on Gianicolo Hill",Sabrina  & Roberto,XII Monte Verde,4187548,1246068,Private room,1722762,"Central Rome, room on Gianicolo Hill",Sabrina  & Roberto,XII Monte Verde,4187381,1246088,Private room
100,797304,APARTMENT TRASTEVERE 8 people,Manuela,XII Monte Verde,4187931,124675,Entire home/apt,2001397,Apartment Trastevere 8 people,Manuela,XII Monte Verde,4188073,1246606,Entire home/apt
100,777449,Trastevere 8 bed Apartment,Manuela,XII Monte Verde,4187942,1246635,Entire home/apt,2698885,Trastevere 8 bed Apartment,Manuela,XII Monte Verde,4187901,1246576,Entire home/apt
100,981164,BIG DOUBLE BEDROOM CLOSE TO METRO A,Marco,XIII Aurelia,4190552,1242324,Private room,2620391,Big double bedroom close to Metro A,Marco,XIII Aurelia,4190278,1241773,Private room
100,1248421,Colosseo - Independent Apartment with Living Room,Maria Alberta,I Centro Storico,4188687,1249831,Entire home/apt,2855389,Colosseo - Independent Apartment with Living Room,Maria Alberta,I Centro Storico,4188692,1249832,Entire home/apt
100,683861,Green Apartments Rome N°4,Andrea,I Centro Storico,4188967,1250171,Entire home/apt,5178700,Green Apartments Rome N°3,Andrea,I Centro Storico,4188947,1250106,Entire home/apt
100,1248421,Colosseo - Independent Apartment with Living Room,Maria Alberta,I Centro Storico,4188687,1249831,Entire home/apt,6507223,Colosseo - Independent Apartment with Living Room,Maria Alberta,I Centro Storico,4188818,1249673,Entire home/apt
100,990775,YOUR HOME AWAY FROM HOME,Giorgio,V Prenestino/Centocelle,4188895,1252623,Private room,8680346,your home away from home,Giorgio,V Prenestino/Centocelle,4188917,1252611,Private room
100,683861,Green Apartments Rome N°4,Andrea,I Centro Storico,4188967,1250171,Entire home/apt,4222374,Green Apartments Rome N°2,Andrea,I Centro Storico,4188878,124997,Entire home/apt
